LicenseNo,LastUpdate,BusinessName,BUS-NAME-2,FullBusinessName,MailingAddress,City,State,County,ZIPCode,country,BusinessPhone,BusinessType,IssueDate,ReissueDate,ExpirationDate,InactivationDate,ReactivationDate,PendingSuspension,PendingClassRemoval,PendingClassReplace,PrimaryStatus,SecondaryStatus,Classifications(s),AsbestosReg,WorkersCompCoverageType,WCInsuranceCompany,WCPolicyNumber,WCEffectiveDate,WCExpirationDate,WCCancellationDate,WCSuspendDate,CBSuretyCompany,CBNumber,CBEffectiveDate,CBCancellationDate,CBAmount,WBSuretyCompany,WBNumber,WBEffectiveDate,WBCancellationDate,WBAmount,DBSuretyCompany,DBNumber,DBEffectiveDate,DBCancellationDate,DBAmount,DateRequired,DiscpCaseRegion,DBBondReason,DBCaseNo,NAME-TP-2
1001096,07/13/2026,EXPERT TILE & GRANITE INC,,,2934 ALLESANDRO STREET,LOS ANGELES,CA,Los Angeles,90039,,(323) 633 9783,Corporation,02/12/2015,,02/28/2027,,,,,,CLEAR,WC Susp Pending,C54,,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC, TES4451348, 07/08/2024, 07/08/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100265347,01/01/2023,,25000,,,,,,,,,,,,,,,
1001453,05/18/2026,ALL PRO SYSTEMS INC,,,1609 S ATLANTIC BLVD,LOS ANGELES,CA,Los Angeles,90066,,(213) 425 5466,Corporation,02/23/2015,,02/28/2027,,,,,,CLEAR,,C10,,Workers' Compensation Insurance,AMTRUST INSURANCE COMPANY, KWC1444080, 05/16/2026, 05/16/2027,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100864876,06/17/2024,,25000,,,,,,,,,,,,,,,
1001565,03/12/2026,TRINITY CONTRACTING CONCEPTS INC,,,6709 LA TIJERA BLVD #134,LOS ANGELES,CA,Los Angeles,90045,,(310) 925 6601,Corporation,02/26/2015,,02/28/2027,,,,,,CLEAR,,B| C10,,Exempt,,, 02/25/2025,,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,PB10163409202,03/12/2026,,25000,,,,,,,,,,,,,,,
1001579,06/01/2026,C V S CUSTOM CABINET,,,2115 WEST VIEW STREET,LOS ANGELES,CA,Los Angeles,90016,,(310) 292 2974,Sole Owner,02/27/2015,,02/28/2027,,,,,,CLEAR,,C-6,,Workers' Compensation Insurance,AMTRUST INSURANCE COMPANY, KWC1440692, 03/19/2026, 03/19/2027,,,ARCH INSURANCE COMPANY,SU71042770000,01/24/2023,,25000,,,,,,,,,,,,,,,
1001582,10/17/2025,INFINITY REMODELING,,,1701 SOUTH HOLT AVENUE,LOS ANGELES,CA,Los Angeles,90035,,(310) 628 6723,Sole Owner,02/27/2015,,02/28/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9203204, 11/07/2017, 11/07/2026,,,MERCHANTS BONDING COMPANY (MUTUAL),101315391,11/17/2024,,25000,,,,,,,,,,,,,,,
1001708,08/18/2026,GLENDALE IRON INC,,,4208 CHEVY CHASE DRIVE,LOS ANGELES,CA,Los Angeles,90039,,(818) 247 1098,Corporation,03/06/2015,,03/31/2027,,,,,,CLEAR,,C23| C51,,"Leasing Firm, Temp Agency, etc",STATE NATIONAL INSURANCE COMPANY INC, CWC719492109, 06/14/2026, 01/01/2027,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,101090089,07/22/2026,,25000,,,,,,,,,,,,,,,
1001814,01/06/2026,J P DEMO INC,,JP DEMO INC,11911 AYRES AVENUE,LOS ANGELES,CA,Los Angeles,90064,,(818) 822 1618,Corporation,03/11/2015,,03/31/2027,,,,,,CLEAR,,B| C21,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9322493, 01/02/2025, 01/02/2027,,,NORTH RIVER INSURANCE COMPANY (THE),04CF602284,01/01/2023,,25000,,,,,,,,,,,,,,,
1001852,03/13/2026,ARMOUR BOURKE,,BOURKE ARMOUR,12242 HERBERT STREET,LOS ANGELES,CA,Los Angeles,90066,,(310) 420 2442,Sole Owner,03/12/2015,,03/31/2027,,,,,,CLEAR,,B,,Workers' Compensation Insurance,PIE INSURANCE COMPANY (THE), 3655127, 02/24/2026, 02/24/2027,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100265411,01/01/2023,,25000,,,,,,,,,,,,,,,
1001998,06/16/2026,GUEVARA'S PAINTING INC,,,333 1/2 W 66TH ST,LOS ANGELES,CA,Los Angeles,90003,,(818) 738 0355,Corporation,03/17/2015,,03/31/2027,,,,,,CLEAR,,C33,,Exempt,,, 04/08/2025,,,,PHILADELPHIA INDEMNITY INSURANCE COMPANY,PB10163411969,06/16/2026,,25000,,,,,,,,,,,,,,,
1002037,05/05/2026,JVS ACOUSTICS,,,5778 OMAHA ST APT 1,LOS ANGELES,CA,Los Angeles,90042,,(760) 646 6014,Sole Owner,03/18/2015,03/07/2025,03/31/2027,01/30/2017,03/07/2025,,,,CLEAR,,B| C-2,,Exempt,,, 02/14/2025,,,,WESTERN SURETY COMPANY,67369073,02/21/2025,,25000,,,,,,,,,,,,,,,
1002054,05/19/2026,GOLD COAST PAINTING,,,645 W COLDEN AVE T,LOS ANGELES,CA,Los Angeles,90044,,(213) 215 0454,Sole Owner,03/18/2015,,03/31/2027,,,,,,CLEAR,,C33,,Exempt,,, 02/11/2025,,,,NATIONWIDE MUTUAL INSURANCE COMPANY,7901321759,05/17/2026,,25000,,,,,,,,,,,,,,,
1002330,03/23/2026,JNK BUILDER INC,,,1463 S NORTON AVENUE,LOS ANGELES,CA,Los Angeles,90019,,(213) 505 0751,Corporation,03/24/2015,,03/31/2027,,,,,,CLEAR,,B| C10,,Workers' Compensation Insurance,NORGUARD INSURANCE COMPANY, JNWC789146, 02/28/2026, 02/28/2027,,,ATLANTIC SPECIALTY INSURANCE COMPANY,800209568,11/24/2025,,25000,,,,,,,,,,,,,,,
1002381,09/16/2025,CALI - ROOTER & PLUMBING,,,1110 N VIRGIL AVE #200,LOS ANGELES,CA,Los Angeles,90029,,(818) 331 5842,Sole Owner,03/25/2015,,03/31/2027,,,,,,CLEAR,,C36,,Exempt,,, 04/07/2025,,,,NORTH RIVER INSURANCE COMPANY (THE),04CF644368,09/16/2025,,25000,,,,,,,,,,,,,,,
1002485,07/29/2026,SNLM ENGINEERING,SNLM LANDSCAPE INC,SNLM LANDSCAPE INC DBA SNLM ENGINEERING,1401 W 123RD STREET,LOS ANGELES,CA,Los Angeles,90047,,(213) 298 8589,Corporation,03/28/2015,09/28/2022,09/30/2026,,,,,,CLEAR,,A,,Workers' Compensation Insurance,EMPLOYERS PREFERRED INSURANCE COMPANY, EIG572263101, 09/26/2025, 09/26/2026,,,ATLANTIC SPECIALTY INSURANCE COMPANY,800049082,08/24/2025,,25000,,,,,,,,,,,,,,,Current Name
